"id";"type";"title";"effect";"tags";"conditional_tags";"lore";"discipline";"rarity";"author";"socket_a";"socket_b";"socket_d";"socket_e";"socket_f";"socket_g";"energy";"speed";"hp";"armour";"shield";"abm";"damage";"control";"damage_abm";"damage_shield";"damage_armour"
"101";"equipment";"Quantentorpedos";"";"Einmalige Verwendung";"";"""Wer über die Quantentheorie nicht entsetzt ist, der hat sie nicht verstanden."" - Niels Bohr";"";"5";"C. Thomsen";"";"";"-1";"";"";"";"-1";"";"";"";"";"";"24";"";"-9";"-7";""
"102";"hull";"Sternbasis [Sektion]";"Komponenten (3x Sektion)";"";"";"Diese Sternbasis wurde errichtet, um diesen Teil unseres Sonnensystems zu kontrollieren.";"";"5";"pikabobalex @sketchfab";"1";"2";"1";"3";"";"";"";"0";"17";"";"";"";"";"";"";"";""
"103";"equipment";"Adamantiumpanzer";"";"Einmalige Verwendung";"";"Adamantium ist eine äußerst seltene Legierung, die nur in einigen wenigen Legierungsgießereien im Sonnensystem hergestellt werden kann.";"";"5";"C. Thomsen";"";"";"";"-2";"";"";"";"";"";"";"";"";"";"";"";"";""
"104";"equipment";"Antimaterietorpedos";"";"Einmalige Verwendung";"";"Jeder dieser Sprengköpfe ist mit 2 kg Antimaterie bestückt, welche bei Annihilation eine Sprengkraft äquivalent zu 90 Megatonnen TNT freisetzt.";"";"5";"C. Thomsen";"";"";"-1";"";"";"";"-2";"";"";"";"";"";"22";"";"-11";"";""
"104";"equipment";"Reparaturnaniten";"Entferne am Ende deines Zuges bis zu 10 Schadensmarken von diesem Schiff.";"";"";"""Sollen sich auch alle schämen, die gedankenlos sich der Wunder der Wissenschaft und Technik bedienen, und nicht mehr davon geistig erfasst haben als die Kuh von der Botanik der Pflanzen, die sie mit Wohlbehagen frisst."" - Albert Einstein";"";"5";"Yulyolya @sketchfab";"";"";"";"-1";"";"";"-1";"";"";"";"";"";"";"";"";"";""
"105";"infrastructure";"Antimateriereaktor";"Wird dieses Schiff im Gefecht zerstört, füge vor dem Entfernen dieser Karte allen an diesem Gefecht teilnehmenden Schiffen 1 {ICON:damage} zu.";"";"";"Dieser Reaktor nutzt die bei der Kollision von Materie mit Antimaterie freigewordene Energie. Eine unkontrollierte Kollision der gesamten hier verwahrten Antimaterie hätte jedoch fatale Folgen.";"";"5";"glewindesign @sketchfab";"";"";"";"-3";"";"";"10";"";"";"";"";"";"";"";"";"";""
"106";"equipment";"Tachyonlanze";"";"";"";"Diese experimentellen Energiewaffen verschießen superluminare Tachyonen. Da Tachyonen sich schneller als das Licht bewegen, haben die Ziele selbst auf extremen Distanzen keine Möglichkeiten Gegenmaßnahmen einzuleiten, bevor sie getroffen werden.";"";"5";"C. Thomsen";"";"-2";"";"";"";"";"-4";"";"";"";"";"";"8";"";"";"-5";""
"107";"equipment";"Partikellanze";"";"";"";"Diese schweren Energiewaffen verschießen fokussierte Partikelstrahlen, welche außerhalb von Energieschilden verheerende Schäden verursachen.";"";"4";"cinnamine @sketchfab";"";"-2";"";"";"";"";"-2";"";"";"";"";"";"7";"";"";"-5";""
"108";"tactic";"Asteroideneinschlag";"";"Unsere Astrodynamiker sagen, dass wir einen großen Felsbrocken aus den Ringen des Saturns mittels eines Swing-by-Manövers in ein tödliches Geschoss verwandeln könnten.";"";"Diese Karte führt einen einzelnen Angriff auf eine gegnerische Kolonie aus.";"Wissenschaft";"4";"C. Thomsen";"";"";"";"";"";"";"";"";"";"";"";"";"15";"";"-3";"";""
"109";"equipment";"Plasmanachbrenner";"";"";"";"""Es gibt Wichtigeres im Leben, als beständig dessen Geschwindigkeit zu erhöhen."" - Mahatma Gandhi";"";"4";"P. Linforth";"";"";"";"";"";"-1";"-3";"+2";"";"";"";"";"";"";"";"";""
"110";"tactic";"Nanobot Wolke";"";"Modernste Nanotechnologie macht diese kleinen Helfer zum perfekten Werkzeug für die kontinuierliche Instandhaltung großer Flottenverbände.";"";"Entferne 3 Schadensmarken von jeder deiner {ICON:hull}-Karten (von einem Kreuzer mit 3 Karten also z.B. 9 Schadensmarken).";"Wissenschaft";"4";"Yulyolya @sketchfab";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"111";"hull";"Raumstation [Sektion]";"";"Komponenten (2x Sektion)";"";"Eine militärische Raumstation mit Anlagen zur Montage von Waffensystemen verschiedener Größenordnungen.";"";"4";"JCK5D @pixabay";"1";"2";"";"2";"";"";"";"0";"14";"";"";"";"";"";"";"";""
"112";"orb";"Titan";"";"Planetar Unerschöpflich Aktion ( {ICON:hull} | {ICON:infrastructure} )";"";"Der größte Mond des Saturns ist zugleich der einzige Mond des Sonnensystems mit einer dichten Atmosphäre.";"";"4";"NASA";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";""
"113";"hull";"Sternbasis [Sektion]";"Komponenten (3x Sektion)";"";"";"Sternbasen sind weitestgehend autarke Stationen, welche monatelang ohne Nachschubkonvois auskommen können.";"";"4";"pikabobalex @sketchfab";"";"3";"";"2";"1";"";"";"0";"15";"";"";"";"";"";"";"";""
"114";"infrastructure";"Flottenlogistikzentrum";"Ziehe am Ende deines Zuges eine Karte, falls du weniger als 7 Handkarten hast.";"";"";"""Meine Logistiker sind ein humorloser Haufen. Sie wissen, dass sie die Ersten sein werden, die ich schlachte, sollte meine Kampagne fehlschlagen."" - Alexander der Große";"";"4";"Coxinha @pixabay";"";"";"";"";"-2";"";"-4";"";"";"";"";"";"";"";"";"";""
"115";"equipment";"Ablative Magnetpanzerung";"";"Unerschöpflich";"";"Diese aus winzigen magnetisierten Platten bestehende Panzerung verschließt Schäden innerhalb von Sekundenbruchteilen.";"";"4";"Gmit @pixabay";"";"";"";"-1";"";"";"";"";"";"";"";"";"";"";"";"";""
"116";"hull";"Kreuzer [Kern]";"";"Komponenten (Bug, Kern, Heck)";"";"Kreuzer bilden das Rückgrad ernstzunehmender Kampfverbände. Sie können je nach Konfiguration für den schnellen Einsatz oder aber für größere Gefechtsszenarien optimiert werden.";"";"3";"Noupload @pixabay";"1";"1";"";"1";"";"";"";"";"9";"";"";"";"";"";"";"";""
"117";"hull";"Kreuzer [Kern]";"";"Komponenten (Bug, Kern, Heck)";"";"Kreuzer bilden das Rückgrad ernstzunehmender Kampfverbände. In dem großen Hangarmodul dieses Kreuzers können zahlreiche Gefechtsköpfe geladen werden.";"";"3";"Noupload @pixabay";"";"";"2";"1";"";"";"";"";"9";"";"";"";"";"";"";"";""
"118";"equipment";"Ionendisruptor";"";"";"";"Disruptorwaffen schwächen die molekulare Bindung der Atome ihres Ziels. Sie gehören zu den wenigen Waffensystemen, gegen die es bislang keine effektiven Schutzmaßnahmen gibt, da weder Strahlenschilde noch Panzerungssysteme die Schadenswirkung dämpfen.";"";"3";"MSGDI @sketchfab";"-1";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"";""
"119";"hull";"Orbitaler Außenposten";"";"";"";"Dieser Außenposten ist nicht für die zivile Nutzung der Kolonie ausgelegt, sondern dient ausschließlich der militärischen Sicherung.";"";"3";"DaiSentai @sketchfab";"1";"2";"";"2";"";"";"";"0";"11";"";"";"";"";"";"";"";""
"120";"hull";"Kreuzer [Bug]";"";"Komponenten (Bug, Kern, Heck)";"";"Der verstärkte Rumpf dieses schweren Kreuzers ist für den Kampf an vorderster Front ausgelegt.";"";"3";"Noupload @pixabay";"1";"";"1";"1";"";"";"";"-1";"13";"";"";"";"";"";"";"";""
"121";"hull";"Kreuzer [Kern]";"";"Komponenten (Bug, Kern, Heck)";"";"Kreuzer bilden das Rückgrad ernstzunehmender Kampfverbände. Der Rumpf dieses Schiffes kann auch sehr schwere Geschütze tragen.";"";"3";"Noupload @pixabay";"";"2";"";"1";"";"";"";"";"9";"";"";"";"";"";"";"";""
"122";"hull";"Kreuzer [Heck]";"";"Komponenten (Bug, Kern, Heck)";"";"Trotz seiner Größe kann dieser Kreuzer mit der Geschwindigkeit der meisten kleineren Zerstörer und Fregatten mithalten.";"";"3";"Noupload @pixabay";"";"1";"";"1";"";"1";"";"3";"8";"";"";"";"";"";"";"";""
"123";"tactic";"Handelsabkommen";"";"Die äußeren Kolonien sind weitestgehend autark, doch ein Handelsabkommen mit etablierten Kolonien ermöglicht Zugang zu seltenen Ressourcen.";"";"Lege die obersten 2 Karten deines Decks auf deinen Ablagestapel. Durchsuche dein Deck nach einer beliebigen nicht-{ICON:orb} Karte, zeige sie deinen Gegnern, mische dein Deck und lege die Karte auf dein Deck.";"Wirtschaft";"3";"Pexels @pixabay";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"124";"equipment";"Universaladapter";"";"";"";"Auf den lunaren Schiffswerften sind alle Schiffe und Bauteile standardisiert. Doch für unsere Anforderungen müssen wir manchmal von diesen Standards abweichen und improvisieren.";"Wissenschaft";"3";"xresch @pixabay";"+1";"-1";"+1";"+1";"";"";"";"";"";"";"";"";"";"";"";"";""
"125";"equipment";"Plasmakanone";"";"";"";"Die überdimensionierte Militärvariante eines industriellen Plasmaschneiders; schmilzt feindliche Raumfahrzeuge, Stationen oder ganze Außenposten.";"";"3";"MSGDI @sketchfab";"";"-1";"";"";"";"";"-1";"";"";"";"";"";"14";"";"";"-6";""
"126";"equipment";"Kinetische Artillerie";"";"";"";"Zur kinetischen Artillerie gehören die schwersten der konventionellen Geschütze, die üblicherweise auf schweren Kreuzern und Schlachtschiffen zum Einsatz kommen. Sie können eine Vielzahl unterschiedlicher Munitionstypen mit bis zu 200 kg Granatengewicht laden und verschießen.";"";"3";"MSGDI @sketchfab";"";"-2";"";"";"";"";"";"";"";"";"";"";"8";"";"";"";""
"127";"equipment";"Protontorpedos";"";"Einmalige Verwendung";"";"Setzt bei der Detonation hochenergetische Protonenpartikel frei, welche ihr Ziel in Stücke reißen. Anders als andere Torpedosprengköpfe können diese jedoch von Energieschilden beeinträchtigt werden.";"";"3";"C. Thomsen";"";"";"-1";"";"";"";"";"";"";"";"";"";"15";"";"-6";"-7";""
"128";"hull";"Sternbasis [Sektion]";"Komponenten (3x Sektion)";"";"";"Zivile Sternbasissektionen werden häufig mit Subunternehmern betrieben, um nahegelegene Kolonien zu unterstützen.";"";"3";"pikabobalex @sketchfab";"1";"";"";"3";"2";"";"";"0";"14";"";"";"";"";"";"";"";""
"129";"tactic";"Planetarer Verteidigungsplan";"Intervention (Angriff)";"Wir müssen auf das Undenkbare vorbereitet sein.";"";"Negiere einen Angriff auf deine Kolonie oder auf eine Karte in deiner Koloniezone.";"Militär";"3";"C. Thomsen";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"130";"equipment";"Flakartillerie";"";"";"";"Verschießt mit jeder Salve tausende von Hochgeschwindigkeitsschrapnellen, um herannahende Flugkörper schon auf großer Distanz zu eliminieren.";"";"2";"MSGDI @sketchfab";"";"-1";"";"";"";"";"";"";"";"";"";"1";"3";"";"";"";""
"131";"hull";"Fregatte [Bug]";"";"Komponenten (Bug, Heck)";"";"Fregatten werden in Kampfverbänden zur Unterstützung der größeren Schiffe in der Regel für spezialisierte Aufgaben eingesetzt.";"";"2";"C. Keough";"";"";"";"2";"";"";"";"";"7";"";"";"";"";"";"";"";""
"132";"hull";"Fregatte [Heck]";"";"Komponenten (Bug, Heck)";"";"Diese Fregatte ist mit einem Hangar für verschiedene Torpedos zur Bekämpfung von Großkampfschiffen versehen.";"";"2";"C. Keough";"";"";"2";"1";"";"1";"";"3";"7";"";"";"";"";"";"";"";""
"133";"hull";"Kreuzer [Bug]";"";"Komponenten (Bug, Kern, Heck)";"";"Kreuzer bilden das Rückgrad ernstzunehmender Kampfverbände. Sie können je nach Konfiguration für den schnellen Einsatz oder aber für größere Gefechtsszenarien optimiert werden.";"";"2";"Noupload @pixabay";"1";"";"1";"1";"";"";"";"";"9";"";"";"";"";"";"";"";""
"134";"hull";"Kreuzer [Heck]";"";"Komponenten (Bug, Kern, Heck)";"";"Kreuzer bilden das Rückgrad ernstzunehmender Kampfverbände. Sie können je nach Konfiguration für den schnellen Einsatz oder aber für größere Gefechtsszenarien optimiert werden.";"";"2";"Noupload @pixabay";"";"1";"";"2";"";"1";"";"2";"9";"";"";"";"";"";"";"";""
"135";"infrastructure";"Schiffswerft";"";"Aktion ( {ICON:hull} )";"";"Wir müssen unsere Flotte nur schneller erweitern als unsere Konkurrenten es können.";"";"2";"yamahadrummer2017 @sketchfab";"";"";"";"";"-1";"";"-2";"";"";"";"";"";"";"";"";"";""
"136";"equipment";"Plasmatorpedos";"";"Einmalige Verwendung";"";"Standardsprengköpfe zur Bekämpfung von gepanzerten Raumfahrzeugen im Vakuum. Plasmasprengladungen setzen dabei auf Hitzewirkung statt auf Strahlung oder Explosionsdruck.";"";"2";"MSGDI @sketchfab";"";"";"-1";"";"";"";"";"";"";"";"";"";"10";"";"-5";"";""
"137";"infrastructure";"Rechenzentrum";"";"Aktion ( {ICON:tactic} Information)";"";"""Die Gefahr, dass der Computer so wird wie der Mensch, ist nicht so groß wie die Gefahr, dass der Mensch so wird wie der Computer."" - Konrad Zuse";"";"2";"Schäferle @pixabay";"";"";"";"";"-1";"";"-1";"";"";"";"";"";"";"";"";"";""
"138";"infrastructure";"Handelsunternehmen";"";"Aktion ( {ICON:tactic} Wirtschaft)";"";"""Zum Handeln gehört wesentlich Charakter, und ein Mensch von Charakter ist ein anständiger Mensch, der als solcher bestimmte Ziele vor Augen hat und diese mit Festigkeit verfolgt."" - Georg Wilhelm Friedrich Hegel";"";"2";"C. Thomsen";"";"";"";"";"-1";"";"-1";"";"";"";"";"";"";"";"";"";""
"139";"tactic";"ECM-Emitter";"Deaktiviere {ICON:equipment} deines Gegners, die in Summe bis zu 4 {ICON:abm} bieten.";"Intervention (Gefechtsphasenbeginn)";"";"Einsatz von elektronischen Gegenmaßnahmen, um die Verteidigungs- und Zielerfassungssysteme des Feindes zu stören.";"Militär";"2";"11287688 @pixabay";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"140";"equipment";"Deflektorschild";"";"";"";"Moderne Deflektorschilde benötigen zwar viel Energie, schützen jedoch vor den meisten konventionellen Strahlenwaffen.";"";"2";"C. Thomsen";"";"";"";"-1";"";"";"-2";"";"";"";"2";"";"";"";"";"";""
"141";"tactic";"Externe Arbeitskräfte";"";"Aktion ( {ICON:hull} + {ICON:hull} + {ICON:hull} )";"";"""Man hat Arbeitskräfte gerufen, und es kommen Menschen."" - Max Frisch";"Wirtschaft";"2";"D. Mark";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"142";"tactic";"Ingenieure von Phobos";"Ziehe Karten bis du eine {ICON:hull} gezogen hast. Zeige sie deinen Gegnern und nimm sie auf die Hand. Mische die übrigen Karten in dein Deck.";"Aktion ( {ICON:hull} )";"";"Luna mag zwar die größten Schiffswerften des Sonnensystems beherbergen, doch die Ingenieure von Phobos sind häufiger geneigt, weit entfernten Kolonien ihre Dienste anzubieten.";"Wirtschaft";"2";"Royal Academy of Eng";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"143";"tactic";"Waffenprototyp";"Ziehe Karten bis du eine {ICON:equipment} gezogen hast. Zeige sie deinen Gegnern und nimm sie auf die Hand. Mische die übrigen Karten in dein Deck.";"Aktion ( {ICON:equipment} )";"";"""Wenn du einen Prototyp erstellst, gehe davon aus, dass du Recht hast und alle anderen falsch liegen."" - Diego Rodriguez Telechea";"Wissenschaft";"2";"xresch @pixabay";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"144";"tactic";"Kalte Fusion";"Spiele eine Karte ""Fusionsreaktor"" oder ""Kraftwerk"" aus und lege diese Karte an sie an.";"Haltbarkeit (Permanent)";"";"Im Gegensatz zu den gängigen Fusionsreaktoren benötigt dieser Reaktor keine thermonukleare Reaktion für die Kernfusion.";"Wissenschaft";"2";"P. Darío";"";"";"";"";"";"";"+1";"";"";"";"";"";"";"";"";"";""
"145";"infrastructure";"Fusionsreaktor";"";"";"";"In diesem Fusionsreaktor im Tokamak Design findet eine kontrollierte thermonukleare Reaktion von Deuterium und Tritium statt.";"";"2";"Wikipedia";"";"";"";"-2";"";"";"4";"";"";"";"";"";"";"";"";"";""
"146";"orb";"Europa";"";"Aktion ( {ICON:tactic} Wissenschaft) Multiplikator ( {ICON:tactic} Information)";"";"Der kleinste der vier großen Monde des Jupiters ist ein Eismond, unter dessen Oberfläche sich ein gewaltiger Ozean befindet.";"";"2";"NASA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"147";"infrastructure";"Kommandozentrale";"";"Aktion ( {ICON:tactic} Militär)";"";"""Es gibt keine schlechten Mannschaften, Marschall. Es gibt nur schlechte Offiziere."" - Napoleon I. Bonaparte";"";"2";"11287688 @pixabay";"";"";"";"";"-1";"";"-1";"";"";"";"";"";"";"";"";"";""
"148";"infrastructure";"Forschungslabor";"";"Aktion ( {ICON:tactic} Wissenschaft)";"";"""Der traurigste Aspekt derzeit ist, dass die Wissenschaft schneller Wissen sammelt, als die Gesellschaft Weisheit."" - Isaac Asimov";"";"2";"Sujet @pixabay";"";"";"";"";"-1";"";"-1";"";"";"";"";"";"";"";"";"";""
"149";"tactic";"Expertenkonferenz";"Ziehe Karten bis du zwei {ICON:tactic} gezogen hast. Zeige sie deinen Gegnern und nimm sie auf die Hand. Mische die übrigen Karten in dein Deck.";"";"";"Bringen wir die schlausten Köpfe an einen Tisch.";"Information";"2";"M. Ghezzo";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"150";"equipment";"Fusionsbombentorpedos";"";"Einmalige Verwendung Verheerend (Kolonie)";"";"Die Gewalt einer Sonne entlädt sich bei der Zündung eines thermonuklearen Sprengkopfes. Lange Zeit galten sie auf der Erde als geächtete Waffen. Doch die Erde ist weit entfernt.";"";"2";"US Dep. of Energy";"";"";"-1";"-1";"";"";"";"";"";"";"";"";"12";"";"-6";"-3";""
"151";"equipment";"Kinetikwaffenbatterie";"";"";"";"Großkalibrige ballistische Geschütze, welche ummantelte Explosivgeschosse mit hoher Kadenz verschießen.";"";"2";"MSGDI @sketchfab";"";"-1";"";"";"";"";"";"";"";"";"";"";"5";"";"";"";""
"152";"hull";"Orbitaler Außenposten";"";"";"";"Ein kleiner orbitaler Außenposten, wie er üblicherweise in der Aufbauphase neuer Kolonien errichtet wird, um Schutz und logistische Grundversorgung zu gewährleisten.";"";"2";"NovA29R @sketchfab";"1";"";"1";"2";"1";"";"";"0";"10";"";"";"";"";"";"";"";""
"153";"hull";"Orbitaler Außenposten";"";"";"";"Ein kleiner orbitaler Außenposten, wie er üblicherweise in der Aufbauphase neuer Kolonien errichtet wird, um Schutz und logistische Grundversorgung zu gewährleisten.";"";"2";"C. Thomsen";"1";"1";"";"2";"1";"";"";"0";"10";"";"";"";"";"";"";"";""
"154";"infrastructure";"Bergbauaußenposten";"";"Aktion ( {ICON:infrastructure} )";"";"Gewinnung und Export von Erzen und seltenen Erden von den äußeren Monden brachte viele Glücksritter in die Regionen jenseits des Mars. Für das Wachstum der Kolonien ist ihre Arbeit unverzichtbar.";"";"2";"C. Thomsen";"";"";"";"";"-1";"";"-1";"";"";"";"";"";"";"";"";"";""
"155";"infrastructure";"Müllverarbeitungsanlage";"Du darfst am Ende deines Zuges die oberste Karte deines Ablagestapels unter dein Deck legen.";"";"";"Wir geben Weltraumschrott ein neues Leben.";"";"2";"LEEROY Agency";"";"";"";"";"-1";"";"-1";"";"";"";"";"";"";"";"";"";""
"156";"infrastructure";"Planetarer Schild";"";"Planetar";"";"Dieser Partikelschild deckt ein Areal von 14,7 km² ab.";"";"2";"MRowa @sketchfab";"";"";"";"";"";"";"-2";"";"5";"";"1";"";"";"";"";"";""
"157";"equipment";"Plasmawerfer";"";"";"";"Im Inneren eines Eindämmungsfeldes wird durch einen elektrischen Lichtbogen nahezu vollständig ionisiertes Plasma mit einer Temperatur von bis zu 50.000 Kelvin erzeugt.";"";"2";"MSGDI @sketchfab";"-1";"";"";"";"";"";"";"";"";"";"";"";"7";"";"";"-7";""
"158";"hull";"Raumstation [Sektion]";"";"Komponenten (2x Sektion)";"";"Raumstationen ermöglichen den schnellen Warenaustausch und den Transport zur Oberfläche mit Landeshuttles.";"";"2";"C. Thomsen";"1";"";"1";"2";"1";"";"";"0";"12";"";"";"";"";"";"";"";""
"159";"orb";"Ganymed";"";"Aktion ( {ICON:tactic} Information) Multiplikator ( {ICON:tactic} Wirtschaft)";"";"Ganymed ist der größte Mond des Sonnensystems, besitzt ein nennenswertes Magnetfeld und gilt als Tor zu den äußeren Welten.";"";"2";"NASA";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"160";"hull";"Leichter Frachter";"";"";"";"Diese leichten Transportschiffe sind der Motor für die Expansion in die äußeren Welten.";"";"1";"eroyka @pixabay";"1";"";"";"1";"1";"1";"";"4";"5";"";"";"";"";"";"";"";""
"161";"equipment";"Ionenschubdüsen";"";"";"";"Ionentriebwerke nutzen den Rückstoß eines neutralisierten Ionenstrahls zur Fortbewegung. Sie verbrauchen dabei deutlich weniger Stützmasse als andere Antriebsarten.";"";"1";"NASA";"";"";"";"";"";"-1";"-1";"+1";"";"";"";"";"";"";"";"";""
